sampleID,events / ml this is also per g that was put into the tube wet weight,Timepoint,BactWetWeight,LitterWetWeight,LitterDryWeight,Bacterialdryweight,cellspergdryweight,sampleID2,Location,Treatment,hyphae_cm/gdrylitter
4C04,4.12E+07,2,0.2,2,0.48,0.048,8.58E+08,4C04,Shrubland,Sterile control 4,643.4280954
4D01,3.51E+08,2,0.21,2.15,0.5,0.048837209,7.19E+09,4D01,Shrubland,Desert inoculum 1,NA
4D02,1.47E+08,2,0.24,2.01,0.49,0.058507463,2.50E+09,4D02,Shrubland,Desert inoculum 2,995.6235714
4D03,3.04E+08,2,0.24,2.21,0.59,0.064072398,4.74E+09,4D03,Shrubland,Desert inoculum 3,672.1957492
4D04,2.30E+08,2,0.23,2.02,0.52,0.059207921,3.88E+09,4D04,Shrubland,Desert inoculum 4,872.6809408
4G01,4.55E+08,2,0.18,2.17,0.61,0.050599078,8.98E+09,4G01,Shrubland,Grassland inoculum 1,695.5897494
4G02,1.80E+08,2,0.21,2.34,0.55,0.049358974,3.64E+09,4G02,Shrubland,Grassland inoculum 2,NA
4G03,3.84E+08,2,0.21,2.1,0.39,0.039,9.85E+09,4G03,Shrubland,Grassland inoculum 3,1298.009584
4G04,5.36E+08,2,0.24,2.02,0.54,0.064158416,8.35E+09,4G04,Shrubland,Grassland inoculum 4,1390.601434
4L01,1.06E+06,2,0.21,1.58,0.56,0.07443038,1.43E+07,4L01,Shrubland,Litter open 1,863.8926881
4L02,4.30E+06,2,0.21,1.19,0.36,0.063529412,6.77E+07,4L02,Shrubland,Litter open 2,NA
4L03,2.58E+06,2,0.18,1.21,0.31,0.046115702,5.58E+07,4L03,Shrubland,Litter open 3,667.5884389
4L04,5.20E+06,2,0.2,1.89,0.58,0.061375661,8.47E+07,4L04,Shrubland,Litter open 4,NA
4N01,1.14E+06,2,0.21,1.49,0.74,0.104295302,1.09E+07,4N01,Shrubland,Litter closed 1,NA
4N02,6.55E+06,2,0.21,1.26,0.6,0.1,6.55E+07,4N02,Shrubland,Litter closed 2,788.8015374
4N03,1.48E+06,2,0.21,1.23,0.65,0.11097561,1.33E+07,4N03,Shrubland,Litter closed 3,NA
4N04,4.56E+07,2,0.19,1.64,0.57,0.066036585,6.91E+08,4N04,Shrubland,Litter closed 4,NA
4P01,4.19E+08,2,0.19,2.09,0.47,0.042727273,9.81E+09,4P01,Shrubland,Oak inoculum 1,NA
4P02,3.58E+08,2,0.21,2.12,0.71,0.070330189,5.09E+09,4P02,Shrubland,Oak inoculum 2,2221.95946
4P03,7.24E+08,2,0.25,2.14,0.62,0.072429907,9.99E+09,4P03,Shrubland,Oak inoculum 3,918.3756302
4P04,6.05E+08,2,0.18,2.04,0.64,0.056470588,1.07E+10,4P04,Shrubland,Oak inoculum 4,NA
4S01,5.52E+08,2,0.21,2.19,0.65,0.062328767,8.85E+09,4S01,Shrubland,Subalpine inoculum 1,855.8411405
4S02,1.91E+08,2,0.21,2.08,0.67,0.067644231,2.82E+09,4S02,Shrubland,Subalpine inoculum 2,825.8259729
4S03,4.65E+08,2,0.22,2.08,0.59,0.062403846,7.46E+09,4S03,Shrubland,Subalpine inoculum 3,1116.295422
4S04,9.08E+08,2,0.21,2.06,0.77,0.078495146,1.16E+10,4S04,Shrubland,Subalpine inoculum 4,858.5966401
4W01,8.02E+08,2,0.23,2.15,0.72,0.077023256,1.04E+10,4W01,Shrubland,Shrubland inoculum 1,1127.717363
4W02,3.59E+08,2,0.22,2.05,0.59,0.063317073,5.67E+09,4W02,Shrubland,Shrubland inoculum 2,1106.204671
4W03,3.08E+08,2,0.19,2.17,0.59,0.051658986,5.96E+09,4W04,Shrubland,Shrubland inoculum 3,NA
4W04,6.30E+08,2,0.21,2.08,0.63,0.063605769,9.90E+09,4W04,Shrubland,Shrubland inoculum 4,1607.170445
5C01,1.25E+08,2,0.22,2.61,0.36,0.030344828,4.11E+09,5C01,Subalpine,Sterile control 1,495.593979
5C02,3.98E+08,2,0.18,2.57,0.3,0.021011673,1.89E+10,5C02,Subalpine,Sterile control 2,NA
5C03,1.07E+08,2,0.19,2.39,0.44,0.034979079,3.05E+09,5C03,Subalpine,Sterile control 3,1039.892029
