sampleID,events / ml this is also per g that was put into the tube wet weight,Timepoint,BactWetWeight,LitterWetWeight,LitterDryWeight,Bacterialdryweight,cellspergdryweight,sampleID2,Location,Treatment,hyphae_cm/gdrylitter
3G04,1.21E+09,3,0.1033,1.185,1.03,0.089788186,1.34E+10,NA,NA,NA,NA
3L01,9.84E+06,3,0.1,1.05,0.89,0.084761905,1.16E+08,NA,NA,NA,NA
3L02,1.08E+08,3,0.1167,1.0476,0.9,0.100257732,1.08E+09,NA,NA,NA,NA
3L03,5.69E+07,3,0.11,1.09,0.94,0.094862385,6.00E+08,NA,NA,NA,NA
3L04,1.42E+08,3,0.09,1.03,0.89,0.07776699,1.83E+09,NA,NA,NA,NA
3N01,1.20E+08,3,0.1,1.04,0.89,0.085576923,1.40E+09,NA,NA,NA,NA
3N02,6.51E+07,3,0.11,1.14,0.96,0.092631579,7.03E+08,NA,NA,NA,NA
3N03,2.57E+07,3,0.1,1.08,0.91,0.084259259,3.05E+08,NA,NA,NA,NA
3N04,3.89E+07,3,0.13,1.11,0.94,0.11009009,3.53E+08,NA,NA,NA,NA
3P01,7.46E+08,3,0.1042,1.019,0.85,0.086918548,8.58E+09,NA,NA,NA,NA
3P02,2.23E+08,3,0.1012,1.0973,0.95,0.087615055,2.54E+09,NA,NA,NA,NA
3P03,1.21E+09,3,0.1006,1.045,0.9,0.086641148,1.40E+10,NA,NA,NA,NA
3P04,1.77E+09,3,0.1086,1.1865,0.99,0.090614412,1.95E+10,NA,NA,NA,NA
3S01,5.01E+08,3,0.1092,1.0808,0.9,0.090932642,5.51E+09,NA,NA,NA,NA
3S02,5.13E+08,3,0.108,1.0907,0.94,0.09307784,5.51E+09,NA,NA,NA,NA
3S03,4.17E+08,3,0.1049,1.0732,0.93,0.090902907,4.58E+09,NA,NA,NA,NA
3S04,8.89E+08,3,0.1048,1.0442,0.9,0.090327523,9.84E+09,NA,NA,NA,NA
3W01,3.26E+08,3,0.1055,1.3425,1.12,0.088014898,3.70E+09,NA,NA,NA,NA
3W02,4.83E+08,3,0.104,1.042,0.87,0.086833013,5.56E+09,NA,NA,NA,NA
3W03,4.78E+06,3,0.0977,1.0829,0.91,0.08210084,5.82E+07,NA,NA,NA,NA
3W04,9.24E+08,3,0.1077,0.7846,0.65,0.089223808,1.04E+10,NA,NA,NA,NA
4C01,1.68E+08,3,0.1,1.01,0.86,0.085148515,1.97E+09,NA,NA,NA,NA
4C02,9.99E+07,3,0.11,1.03,0.89,0.095048544,1.05E+09,NA,NA,NA,NA
4C03,9.95E+07,3,0.11,1.04,0.9,0.095192308,1.05E+09,NA,NA,NA,NA
4C04,1.12E+08,3,0.1026,1.001,0.83,0.085072927,1.32E+09,NA,NA,NA,NA
4D01,1.90E+08,3,0.1102,1.0237,0.85,0.091501416,2.08E+09,NA,NA,NA,NA
4D02,1.43E+08,3,0.105,1.0113,0.83,0.086176209,1.66E+09,NA,NA,NA,NA
4D03,1.75E+08,3,0.101,1.0344,0.87,0.084947796,2.05E+09,NA,NA,NA,NA
4D04,1.42E+08,3,0.0974,1.0112,0.84,0.08090981,1.75E+09,NA,NA,NA,NA
4G01,4.55E+08,3,0.1158,1.0006,0.84,0.097213672,4.68E+09,NA,NA,NA,NA
4G02,1.05E+09,3,0.1108,1.0483,0.89,0.094068492,1.11E+10,NA,NA,NA,NA
4G03,5.36E+08,3,0.1016,1.0724,0.91,0.086214099,6.21E+09,NA,NA,NA,NA
4G04,5.14E+08,3,0.1091,1.0434,0.87,0.090968948,5.65E+09,NA,NA,NA,NA
4L01,7.68E+06,3,0.11,1.04,0.91,0.09625,7.97E+07,NA,NA,NA,NA
4L02,7.03E+07,3,0.11,1.02,0.92,0.099215686,7.08E+08,NA,NA,NA,NA
4L03,3.01E+07,3,0.1309,1.1073,0.98,0.11585117,2.60E+08,NA,NA,NA,NA
4L04,1.66E+07,3,0.11,1.05,0.94,0.09847619,1.69E+08,NA,NA,NA,NA
4N01,1.36E+08,3,0.1043,1.0844,0.93,0.089449465,1.52E+09,NA,NA,NA,NA
4N02,4.24E+07,3,0.11,1,0.86,0.0946,4.48E+08,NA,NA,NA,NA
4N03,7.55E+07,3,0.11,1.07,0.92,0.094579439,7.98E+08,NA,NA,NA,NA
4N04,5.35E+07,3,0.1,1.03,0.89,0.086407767,6.19E+08,NA,NA,NA,NA
4P01,4.55E+08,3,0.1233,1.1058,0.97,0.108157895,4.20E+09,NA,NA,NA,NA
4P02,6.23E+08,3,0.1024,1.0061,0.83,0.084476692,7.38E+09,NA,NA,NA,NA
4P03,4.33E+08,3,0.1054,1.0094,0.85,0.088755696,4.88E+09,NA,NA,NA,NA
4P04,1.70E+08,3,0.1061,1.0621,0.89,0.088907824,1.91E+09,NA,NA,NA,NA
4S01,3.28E+08,3,0.1071,1.0568,0.91,0.092222748,3.55E+09,NA,NA,NA,NA
4S02,3.33E+08,3,0.1076,1.1074,0.93,0.090363012,3.68E+09,NA,NA,NA,NA
4S03,8.93E+08,3,0.1052,1.0466,0.88,0.088454042,1.01E+10,NA,NA,NA,NA
4S04,1.29E+08,3,0.1108,1.0935,0.93,0.094233196,1.37E+09,NA,NA,NA,NA
4W01,3.42E+08,3,0.1003,1.0335,0.87,0.084432511,4.05E+09,NA,NA,NA,NA
4W02,3.85E+08,3,0.1078,1.103,0.94,0.091869447,4.19E+09,NA,NA,NA,NA
4W03,9.56E+08,3,0.1094,1.0042,0.84,0.091511651,1.04E+10,NA,NA,NA,NA
4W04,2.72E+08,3,0.1036,1.0472,0.91,0.090026738,3.02E+09,NA,NA,NA,NA
5C01,1.64E+08,3,0.1008,1.0612,0.88,0.083588391,1.96E+09,NA,NA,NA,NA
5C02,4.55E+08,3,0.105,1.054,0.89,0.088662239,5.13E+09,NA,NA,NA,NA
5C03,1.47E+08,3,0.1062,1.1493,1,0.092404072,1.59E+09,NA,NA,NA,NA
5C04,1.66E+08,3,0.1153,1.0629,0.93,0.100883432,1.65E+09,NA,NA,NA,NA
5D01,2.32E+08,3,0.109,1.0812,0.9,0.090732519,2.56E+09,NA,NA,NA,NA
5D02,6.79E+08,3,0.1015,1.0021,0.83,0.084068456,8.08E+09,NA,NA,NA,NA
5D03,1.51E+09,3,0.1081,1.1163,0.92,0.089090746,1.70E+10,NA,NA,NA,NA
5D04,2.96E+08,3,0.11,1.1777,0.97,0.090600323,3.27E+09,NA,NA,NA,NA
5G01,1.04E+09,3,0.0962,1.0345,0.85,0.079043016,1.32E+10,NA,NA,NA,NA
5G02,6.74E+08,3,0.0938,1.059,0.87,0.07705949,8.75E+09,NA,NA,NA,NA
5G03,6.15E+08,3,0.0943,1.3247,1.08,0.076880803,7.99E+09,NA,NA,NA,NA
5G04,5.26E+08,3,0.1,1.1301,0.93,0.082293602,6.39E+09,NA,NA,NA,NA
5L01,1.09E+07,3,0.102,1.12,1.01,0.091982143,1.18E+08,NA,NA,NA,NA
5L02,8.01E+06,3,0.1059,1.1065,0.97,0.092835969,8.63E+07,NA,NA,NA,NA
5L03,1.18E+07,3,0.1069,1.16,1.09,0.100449138,1.17E+08,NA,NA,NA,NA
5L04,1.16E+07,3,0.1038,1.1353,1.01,0.092343874,1.25E+08,NA,NA,NA,NA
5N01,8.18E+06,3,0.1148,1.32,0.98,0.085230303,9.59E+07,NA,NA,NA,NA
5N02,1.95E+07,3,0.1072,1.0297,0.88,0.091615034,2.13E+08,NA,NA,NA,NA
5N03,1.55E+07,3,0.103,1.0654,0.92,0.08894312,1.75E+08,NA,NA,NA,NA
5N04,5.31E+07,3,0.109,1.1306,0.96,0.092552627,5.74E+08,NA,NA,NA,NA
5P01,1.24E+09,3,0.1271,1.0152,0.85,0.106417455,1.17E+10,NA,NA,NA,NA
5P02,1.27E+09,3,0.1212,1.0101,0.9,0.107989308,1.17E+10,NA,NA,NA,NA
5P03,7.36E+08,3,0.1281,1.0719,0.83,0.099191156,7.42E+09,NA,NA,NA,NA
5P04,8.04E+08,3,0.1043,1.0288,0.86,0.087187014,9.23E+09,NA,NA,NA,NA
5S01,1.11E+09,3,0.0923,1.0632,0.88,0.076395786,1.46E+10,NA,NA,NA,NA
5S02,3.12E+08,3,0.0924,1.0349,0.86,0.07678423,4.06E+09,NA,NA,NA,NA
5S03,4.25E+08,3,0.098,1.0572,0.85,0.078793038,5.39E+09,NA,NA,NA,NA
5S04,5.21E+08,3,0.0936,1.392,1.16,0.078,6.68E+09,NA,NA,NA,NA
5W01,3.91E+08,3,0.0957,1.1374,0.96,0.080773694,4.84E+09,NA,NA,NA,NA
5W02,7.49E+08,3,0.1089,1.0219,0.83,0.088449946,8.47E+09,NA,NA,NA,NA
5W03,4.51E+08,3,0.1026,1.1316,0.96,0.087041357,5.18E+09,NA,NA,NA,NA
5W04,8.10E+08,3,0.1021,1.079,0.91,0.086108434,9.41E+09,NA,NA,NA,NA
Y1-1,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y1-2,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y1-3,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y1-4,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y2-1,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y2-2,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y2-3,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y2-4,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y3-1,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y3-2,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y3-3,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y3-4,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y4-1,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y4-2,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y4-3,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y4-4,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y5-1,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y5-2,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y5-3,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y5-4,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y6-1,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y6-2,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y6-3,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y6-4,T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y21-1,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y2-1,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y2-3,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y2-4,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y4-1,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y4-2,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y4-3,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y5-2,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y5-3,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
