"","SampleID","Site","LitterOrigin","MicrobialOrigin","Replicate","Timepoint","Date","Collection","FullBag","EmptyBag","BagDiff","EmptyContainer","FullContainer","ContainerDiff","DNAWetWeight","HydrolyticWetWeight","OxidativeWetWeight","BactWetWeight","LitterWetWeight","LitterDryWeight","WetLitterPlusEnvWeight","EnvWeight","DryLitterPlusEnvWeight","HyphaeWetWeight","Sample","Type","Rep","DryToWet","Initial.Mass","Wet.Mass.Rem","Wet.Mass.Rem2","Mass.loss"
"394","2D03","3:Grassland","Grassland","1:Desert",3,3,"","",NA,NA,NA,47.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93,NA,NA,"2D","D",3,NA,5,NA,NA,NA
"395","2D04","3:Grassland","Grassland","1:Desert",4,3,"","",8.416,6.173,2.243,47.57,49.803,2.233,0.056,0.407,0.208,0.106,1.033,0.86,NA,1.88,2.74,0.101,"2D","D",4,0.832526621490804,5,2.233,2.243,62.8193610842208
"396","2G01","3:Grassland","Grassland","3:Grassland",1,3,"","",8.818,6.418,2.4,48.12,50.489,2.369,0.051,0.408,0.2,0.104,1.031,0.86,NA,1.89,2.75,0.101,"2G","G",1,0.834141610087294,5,2.369,2.4,60.478370514064
"397","2G02","3:Grassland","Grassland","3:Grassland",2,3,"","",8.634,6.223,2.411,47.4,49.814,2.414,0.05,0.405,0.199,0.1,1.034,0.88,NA,1.91,2.79,0.101,"2G","G",2,0.851063829787234,5,2.414,2.411,58.9106382978723
"398","2G03","3:Grassland","Grassland","3:Grassland",3,3,"","",8.315,6.354,1.961,48.63,50.615,1.985,0.049,0.409,0.202,0.097,0.862,0.71,NA,1.87,2.58,0.1,"2G","G",3,0.823665893271462,5,1.985,1.961,67.300464037123
"399","2G04","3:Grassland","Grassland","3:Grassland",4,3,"","",8.401,6.229,2.172,48.04,50.223,2.183,0.045,0.402,0.195,0.098,1.053,0.89,NA,1.88,2.77,0.108,"2G","G",4,0.845204178537512,5,2.183,2.172,63.0983855650522
"400","2W01","3:Grassland","Grassland","2:Scrubland",1,3,"","",8.014,6.467,1.547,47.8,49.328,1.528,0.054,0.409,0.204,0.106,0.407,0.3,NA,1.86,2.16,0.106,"2W","W",1,0.737100737100737,5,1.52800000000001,1.547,77.4742014742014
"401","2W02","3:Grassland","Grassland","2:Scrubland",2,3,"","",8.727,6.245,2.482,47.9,50.357,2.457,0.045,0.399,0.209,0.092,1.392,1.18,NA,1.86,3.04,0.095,"2W","W",2,0.847701149425287,5,2.457,2.482,58.3439655172414
"402","2W03","3:Grassland","Grassland","2:Scrubland",3,3,"","",8.057,6.066,1.991,48.11,50.056,1.946,0.05,0.405,0.206,0.108,0.794,0.65,NA,1.89,2.54,0.11,"2W","W",3,0.818639798488665,5,1.946,1.991,68.1385390428212
"403","2W04","3:Grassland","Grassland","2:Scrubland",4,3,"","",8.419,6.082,2.337,47.52,49.762,2.242,0.053,0.407,0.208,0.108,1.018,0.85,NA,1.89,2.74,0.1,"2W","W",4,0.834970530451866,5,2.242,2.337,62.5599214145384
"404","2P01","3:Grassland","Grassland","4:Pine-Oak",1,3,"","",8.339,6.421,1.918,47.39,49.283,1.893,0.045,0.395,0.201,0.11,0.811,0.65,NA,1.92,2.57,0.102,"2P","P",1,0.801479654747226,5,1.893,1.918,69.65598027127
"405","2P02","3:Grassland","Grassland","4:Pine-Oak",2,3,"","",8.294,6.229,2.065,47.39,49.443,2.053,0.052,0.4,0.096,0.102,1.068,0.91,NA,1.85,2.76,0.102,"2P","P",2,0.852059925093633,5,2.053,2.065,65.0144194756555
"406","2P03","3:Grassland","Grassland","4:Pine-Oak",3,3,"","",8.163,6.223,1.94,47.33,49.26,1.93,0.045,0.4,0.196,0.108,0.836,0.67,NA,1.88,2.55,0.1,"2P","P",3,0.801435406698565,5,1.93,1.94,69.0645933014354
"407","2P04","3:Grassland","Grassland","4:Pine-Oak",4,3,"","",8.482,6.392,2.09,47.98,50.079,2.099,0.053,0.418,0.201,0.099,0.97,0.8,NA,1.9,2.7,0.096,"2P","P",4,0.824742268041237,5,2.099,2.09,65.3773195876288
"408","2S01","3:Grassland","Grassland","5:Subalpine",1,3,"","",8.5238,6.3749,2.1489,48.96,49.1656,0.2056,0.0522,0.4016,0.2111,0.1098,0.966,0.8,NA,1.91,2.71,0.1045,"2S","S",1,0.82815734989648,5,2.1489,2.1489,64.4074534161491
"409","2S02","3:Grassland","Grassland","5:Subalpine",2,3,"","",8.2986,6.0947,2.2039,49.08,51.2336,2.1536,0.0508,0.3998,0.2119,0.1107,1.0016,0.82,NA,1.93,2.75,0.1088,"2S","S",2,0.818690095846645,5,2.1536,2.2039,64.7373801916932
"410","2S03","3:Grassland","Grassland","5:Subalpine",3,3,"","",8.0018,6.0272,1.9746,48.08,49.9668,1.8868,0.515,0.4007,0.2059,0.107,0.7568,0.6,NA,1.89,2.49,0.1067,"2S","S",3,0.792811839323467,5,1.8868,1.9746,70.0824524312896
"411","2S04","3:Grassland","Grassland","5:Subalpine",4,3,"","",8.201,6.104,2.097,48.87,50.949,2.079,0.049,0.409,0.192,0.102,1.002,0.74,NA,1.93,2.67,0.1,"2S","S",4,0.738522954091816,5,2.079,2.097,69.2922155688623
"412","2C01","3:Grassland","Grassland","Sterile",1,3,"","",8.78,6.161,2.619,47.83,50.375,2.545,NA,NA,NA,0.108,1.026,0.86,NA,1.88,2.74,0.096,"2C","C",1,0.838206627680312,5,2.545,2.619,57.3352826510721
"413","2C02","3:Grassland","Grassland","Sterile",2,3,"","",7.876,5.736,2.14,48.9,51.012,2.112,NA,NA,NA,0.106,1.024,0.86,NA,1.88,2.74,0.101,"2C","C",2,0.83984375,5,2.112,2.14,64.525
"414","2C03","3:Grassland","Grassland","Sterile",3,3,"","",8.656,6.137,2.519,48.13,50.609,2.479,NA,NA,NA,0.1,1.033,0.87,NA,1.88,2.75,0.101,"2C","C",3,0.842207163601162,5,2.479,2.519,58.2433688286544
"415","2C04","3:Grassland","Grassland","Sterile",4,3,"","",8.38,6.03,2.35,48,50.29,2.29,NA,NA,NA,0.1,1.131,0.93,NA,1.89,2.82,0.09,"2C","C",4,0.822281167108753,5,2.29,2.35,62.3395225464191
"416","2N01","3:Grassland","Grassland","In-situ closed",1,3,"","",7.088,6.177,0.911,47.47,48.382,0.912,NA,NA,NA,0.106,0.555,0.42,NA,1.91,2.33,0.102,"2N","N",1,0.756756756756757,2,0.911999999999999,0.911,65.4918918918919
"417","2N02","3:Grassland","Grassland","In-situ closed",2,3,"","",6.826,5.921,0.905,48.08,48.984,0.904,NA,NA,NA,0.109,0.571,0.44,NA,1.9,2.34,0.106,"2N","N",2,0.770577933450088,2,0.904000000000003,0.904999999999999,65.1698774080559
"418","2N03","3:Grassland","Grassland","In-situ closed",3,3,"","",6.88,5.93,0.95,47.5,48.362,0.862,NA,NA,NA,0.108,0.562,0.43,NA,1.88,2.31,0.103,"2N","N",3,0.765124555160142,2,0.862000000000002,0.95,67.0231316725978
"419","2N04","3:Grassland","Grassland","In-situ closed",4,3,"","",6.755,5.869,0.886,47.29,48.275,0.985,NA,NA,NA,0.108,0.684,0.55,NA,1.87,2.42,0.099,"2N","N",4,0.804093567251462,2,0.984999999999999,0.886,60.3983918128655
"420","2L01","3:Grassland","Grassland","In-situ",1,3,"","",4.87,3.76,1.11,48.19,49.27,1.08,NA,NA,NA,0.1,0.84,0.69,NA,1.94,2.63,0.1,"2L","L",1,0.821428571428571,2,1.08000000000001,1.11,55.6428571428569
"421","2L02","3:Grassland","Grassland","In-situ",2,3,"","",5.27,4.135,1.135,48.08,49.206,1.126,NA,NA,NA,0.11,0.871,0.73,NA,1.84,2.57,0.104,"2L","L",2,0.838117106773823,2,1.126,1.135,52.8140068886335
"422","2L03","3:Grassland","Grassland","In-situ",3,3,"","",4.78,3.81,0.97,47.4,48.36,0.96,NA,NA,NA,0.11,0.64,0.51,NA,1.89,2.4,0.11,"2L","L",3,0.796875,2,0.960000000000001,0.97,61.75
"423","2L04","3:Grassland","Grassland","In-situ",4,3,"","",5.13,3.86,1.27,47.28,48.45,1.17,NA,NA,NA,0.11,0.9,0.74,NA,1.89,2.63,0.1,"2L","L",4,0.822222222222222,2,1.17,1.27,51.8999999999999
"424","3D01","4:Pine-Oak","Grassland","1:Desert",1,3,"","",8.8814,6.2512,2.6302,47.29,49.9142,2.6242,0.054,0.4141,0.2074,0.099,0.9612,0.77,NA,1.89,2.66,0.1064,"3D","D",1,0.801081980857262,5,2.6242,2.6302,57.9560133166874
"425","3D02","4:Pine-Oak","Grassland","1:Desert",2,3,"","",8.8466,5.977,2.8696,48.02,50.9168,2.8968,0.0497,0.4312,0.2071,0.1053,1.055,0.9,NA,1.91,2.81,0.1172,"3D","D",2,0.853080568720379,5,2.8968,2.8696,50.5759241706161
"426","3D03","4:Pine-Oak","Grassland","1:Desert",3,3,"","",8.8367,5.8999,2.9368,48.65,51.5969,2.9469,0.0523,0.4079,0.1982,0.0955,1.0028,0.84,NA,1.88,2.72,0.1098,"3D","D",3,0.837654567211807,5,2.9469,2.9368,50.6303151176705
"427","3D04","4:Pine-Oak","Grassland","1:Desert",4,3,"","",8.9013,5.9882,2.9131,47.98,50.8917,2.9117,0.0568,0.4386,0.2156,0.1068,1.0624,0.89,NA,1.89,2.78,0.1014,"3D","D",4,0.837725903614458,5,2.9117,2.9131,51.2158697289156
"428","3G01","4:Pine-Oak","Grassland","3:Grassland",1,3,"","",8.4834,5.9851,2.4983,47.49,49.9819,2.4919,0.0533,0.3932,0.2042,0.1038,1.0105,0.84,NA,1.9,2.74,0.1027,"3G","G",1,0.831271647699159,5,2.4919,2.4983,58.5710836219693
"429","3G02","4:Pine-Oak","Grassland","3:Grassland",2,3,"","",8.621,5.9661,2.6549,47.44,50.0769,2.6369,0.0525,0.4053,0.1965,0.0988,1.158,0.98,NA,1.85,2.83,0.0983,"3G","G",2,0.846286701208981,5,2.6369,2.6549,55.3685319516407
"430","3G03","4:Pine-Oak","Grassland","3:Grassland",3,3,"","",8.6081,5.9186,2.6895,48.81,51.509,2.699,0.0514,0.426,0.2039,0.0981,1.037,0.87,NA,1.89,2.76,0.1094,"3G","G",3,0.838958534233366,5,2.699,2.6895,54.713018322083
"431","3G04","4:Pine-Oak","Grassland","3:Grassland",4,3,"","",8.8262,6.1286,2.6976,49.08,51.7846,2.7046,0.0492,0.4012,0.2015,0.1033,1.185,1.03,NA,1.93,2.96,0.1021,"3G","G",4,0.869198312236287,5,2.7046,2.6976,52.9833248945148
"432","3W01","4:Pine-Oak","Grassland","2:Scrubland",1,3,"","",8.4696,5.7505,2.7191,48.03,50.7273,2.6973,0.0475,0.402,0.2003,0.1055,1.3425,1.12,NA,1.87,2.99,0.0973,"3W","W",1,0.834264432029795,5,2.6973,2.7191,54.9947709497207
"433","3W02","4:Pine-Oak","Grassland","2:Scrubland",2,3,"","",8.7375,5.7411,2.9964,47.81,50.6096,2.7996,0.0558,0.3828,0.2022,0.104,1.042,0.87,NA,1.87,2.74,0.0969,"3W","W",2,0.834932821497121,5,2.7996,2.9964,53.2504414587332
"434","3W03","4:Pine-Oak","Grassland","2:Scrubland",3,3,"","",8.6748,5.955,2.7198,48.07,50.7863,2.7163,0.0524,0.4231,0.2103,0.0977,1.0829,0.91,NA,1.88,2.79,0.0979,"3W","W",3,0.840336134453782,5,2.7163,2.7198,54.3478991596639
"435","3W04","4:Pine-Oak","Grassland","2:Scrubland",4,3,"","",7.7642,5.913,1.8512,48.18,50.0526,1.8726,0.0504,0.4076,0.2121,0.1077,0.7846,0.65,NA,1.89,2.54,0.1025,"3W","W",4,0.828447616619934,5,1.8726,1.8512,68.9729798623503
"436","3P01","4:Pine-Oak","Grassland","4:Pine-Oak",1,3,"","",8.6319,6.0757,2.5562,48.82,51.381,2.561,0.0522,0.4014,0.202,0.1042,1.019,0.85,NA,1.88,2.73,0.1035,"3P","P",1,0.834151128557409,5,2.561,2.5562,57.2747791952895
"437","3P02","4:Pine-Oak","Grassland","4:Pine-Oak",2,3,"","",8.4258,5.8942,2.5316,48.71,51.254,2.544,0.0516,0.4114,0.2124,0.1012,1.0973,0.95,NA,1.84,2.79,0.101,"3P","P",2,0.865761414380753,5,2.544,2.5316,55.9500592363074
"438","3P03","4:Pine-Oak","Grassland","4:Pine-Oak",3,3,"","",8.5281,5.9793,2.5488,48.09,51.0604,2.9704,0.0507,0.407,0.2164,0.1006,1.045,0.9,NA,1.9,2.8,0.1015,"3P","P",3,0.861244019138756,5,2.9704,2.5488,48.8352153110048
"439","3P04","4:Pine-Oak","Grassland","4:Pine-Oak",4,3,"","",8.3892,5.9155,2.4737,47.45,49.936,2.486,0.0562,0.4035,0.2053,0.1086,1.1865,0.99,NA,1.85,2.84,0.1101,"3P","P",4,0.834386852085967,5,2.486,2.4737,58.5142857142858
"440","3S01","4:Pine-Oak","Grassland","5:Subalpine",1,3,"","",8.3905,5.6326,2.7579,47.33,50.0808,2.7508,0.0534,0.4273,0.208,0.1092,1.0808,0.9,NA,1.92,2.82,0.0994,"3S","S",1,0.832716506291636,5,2.75080000000001,2.7579,54.1872686898593
"441","3S02","4:Pine-Oak","Grassland","5:Subalpine",2,3,"","",8.7155,6.0226,2.6929,48,50.6921,2.6921,0.0521,0.398,0.2119,0.108,1.0907,0.94,NA,1.85,2.79,0.1084,"3S","S",2,0.861831851104795,5,2.6921,2.6929,53.5972494728156
"442","3S03","4:Pine-Oak","Grassland","5:Subalpine",3,3,"","",8.3279,5.8821,2.4458,47.84,50.2991,2.4591,0.0501,0.4021,0.197,0.1049,1.0732,0.93,NA,1.86,2.79,0.1086,"3S","S",3,0.866567275437943,5,2.4591,2.4458,57.3804882594111
"443","3S04","4:Pine-Oak","Grassland","5:Subalpine",4,3,"","",8.5006,5.9719,2.5287,47.94,50.4778,2.5378,0.052,0.4287,0.2177,0.1048,1.0442,0.9,NA,1.86,2.76,0.0989,"3S","S",4,0.861903849837196,5,2.5378,2.5287,56.2532081976632
"444","3C01","4:Pine-Oak","Grassland","Sterile",1,3,"","",8.85,5.85,3,49.01,51.96,2.95,NA,NA,NA,0.11,1.01,0.84,NA,1.88,2.72,0.1,"3C","C",1,0.831683168316832,5,2.95,3,50.9306930693069
"445","3C02","4:Pine-Oak","Grassland","Sterile",2,3,"","",8.78,5.76,3.02,48.76,50.46,1.7,NA,NA,NA,0.1,1.09,1.06,NA,1.86,2.92,0.12,"3C","C",2,0.972477064220183,5,3.02,3.02,41.2623853211009
"446","3C03","4:Pine-Oak","Grassland","Sterile",3,3,"","",8.81,5.95,2.86,47.48,51.58,4.1,NA,NA,NA,0.11,1.23,0.91,NA,1.85,2.76,0.1,"3C","C",3,0.739837398373984,5,4.1,2.86,39.3333333333333
"447","3C04","4:Pine-Oak","Grassland","Sterile",4,3,"","",8.97,5.82,3.15,48.76,51.87,3.11,NA,NA,NA,0.11,1.23,1.05,NA,1.84,2.89,0.11,"3C","C",4,0.853658536585366,5,3.11,3.15,46.9024390243902
"448","3N01","4:Pine-Oak","Grassland","In-situ closed",1,3,"","",7.36,5.6,1.76,48.75,50.48,1.73,NA,NA,NA,0.1,1.04,0.89,NA,1.87,2.76,0.11,"3N","N",1,0.855769230769231,2,1.73,1.76,25.9759615384617
"449","3N02","4:Pine-Oak","Grassland","In-situ closed",2,3,"","",7.45,5.65,1.8,48.99,50.75,1.76,NA,NA,NA,0.11,1.14,0.96,NA,1.88,2.84,0.1,"3N","N",2,0.842105263157895,2,1.76,1.8,25.8947368421053
"450","3N03","4:Pine-Oak","Grassland","In-situ closed",3,3,"","",7.32,5.58,1.74,47.63,49.34,1.71,NA,NA,NA,0.1,1.08,0.91,NA,1.82,2.73,0.11,"3N","N",3,0.842592592592593,2,1.71,1.74,27.9583333333333
"451","3N04","4:Pine-Oak","Grassland","In-situ closed",4,3,"","",7.42,5.7,1.72,48.9,50.59,1.69,NA,NA,NA,0.13,1.11,0.94,NA,1.86,2.8,0.11,"3N","N",4,0.846846846846847,2,1.69,1.72,28.4414414414413
"452","3L01","4:Pine-Oak","Grassland","In-situ",1,3,"","",5.51,3.91,1.6,50.64,52.2,1.56,NA,NA,NA,0.1,1.05,0.89,NA,1.86,2.75,0.09,"3L","L",1,0.847619047619048,2,1.56,1.6,33.8857142857142
"453","3L02","4:Pine-Oak","Grassland","In-situ",2,3,"","",5.521,3.8715,1.6495,50.67,52.3141,1.6441,NA,NA,NA,0.1167,1.0476,0.9,NA,1.86,2.76,0.103,"3L","L",2,0.859106529209622,2,1.6441,1.6495,29.3771477663229
"454","3L03","4:Pine-Oak","Grassland","In-situ",3,3,"","",5.54,3.9,1.64,50.45,52.07,1.62,NA,NA,NA,0.11,1.09,0.94,NA,1.88,2.82,0.11,"3L","L",3,0.862385321100917,2,1.62,1.64,30.1467889908258
"455","3L04","4:Pine-Oak","Grassland","In-situ",4,3,"","",5.49,3.87,1.62,50.81,52.39,1.58,NA,NA,NA,0.09,1.03,0.89,NA,1.86,2.75,0.1,"3L","L",4,0.864077669902913,2,1.58,1.62,31.73786407767
"456","3C05","4:Pine-Oak","Grassland","Sterile",5,3,"","",8.7223,5.9938,2.7285,48.05,50.8059,2.7559,NA,NA,NA,0.1197,NA,0.9842,NA,1.0258,2.01,0.1101,"3C","C",5,NA,5,2.7559,2.7285,NA
"457","4D01","2:Scrubland","Grassland","1:Desert",1,3,"","",9.5522,6.0394,3.5128,50.43,53.8673,3.4373,0.0493,0.4115,0.209,0.1102,1.0237,0.85,NA,1.92,2.77,0.1037,"4D","D",1,0.83032138321774,5,3.4373,3.5128,42.9187261893133
"458","4D02","2:Scrubland","Grassland","1:Desert",2,3,"","",9.6546,5.8303,3.8243,50.63,54.4289,3.7989,0.0532,0.4024,0.2015,0.105,1.0113,0.83,NA,1.84,2.67,0.1058,"4D","D",2,0.820725798477207,5,3.7989,3.8243,37.6428952832988
"459","4D03","2:Scrubland","Grassland","1:Desert",3,3,"","",9.4232,5.8694,3.5538,50.7,54.2467,3.5467,0.051,0.407,0.206,0.101,1.0344,0.87,NA,1.86,2.73,0.1081,"4D","D",3,0.841067285382831,5,3.54669999999999,3.5538,40.3397331786544
"460","4D04","2:Scrubland","Grassland","1:Desert",4,3,"","",9.6572,5.9706,3.6866,50.74,54.4051,3.6651,0.051,0.41,0.2029,0.0974,1.0112,0.84,NA,1.85,2.69,0.1077,"4D","D",4,0.830696202531645,5,3.6651,3.6866,39.1083069620254
