"","SampleID","Site","LitterOrigin","MicrobialOrigin","Replicate","Timepoint","Date","Collection","FullBag","EmptyBag","BagDiff","EmptyContainer","FullContainer","ContainerDiff","DNAWetWeight","HydrolyticWetWeight","OxidativeWetWeight","BactWetWeight","LitterWetWeight","LitterDryWeight","WetLitterPlusEnvWeight","EnvWeight","DryLitterPlusEnvWeight","HyphaeWetWeight","Sample","Type","Rep","DryToWet","Initial.Mass","Wet.Mass.Rem","Wet.Mass.Rem2","Mass.loss"
"360","1D01","1:Desert","Grassland","1:Desert",1,3,"","",10.031,6.099,3.932,48.95,52.588,3.638,0.046,0.422,0.201,0.102,1.121,0.98,NA,1.89,2.87,0.098,"1D","D",1,0.874219446922391,5,3.638,3.932,36.3917930419269
"361","1D02","1:Desert","Grassland","1:Desert",2,3,"","",9.328,5.832,3.496,49.05,52.508,3.458,0.052,0.398,0.2,0.097,1.154,0.99,NA,1.84,2.83,0.095,"1D","D",2,0.8578856152513,5,3.45800000000001,3.496,40.66863084922
"362","1D03","1:Desert","Grassland","1:Desert",3,3,"","",9.611,5.827,3.784,48.21,52.015,3.805,0.048,0.386,0.208,0.106,1.201,1,NA,1.92,2.92,0.108,"1D","D",3,0.832639467110741,5,3.805,3.784,36.6361365528726
"363","1D04","1:Desert","Grassland","1:Desert",4,3,"","",9.483,5.508,3.975,48.12,52.041,3.921,0.047,0.395,0.206,0.106,1.58,1.37,NA,1.9,3.27,0.101,"1D","D",4,0.867088607594937,5,3.921,3.975,32.0029113924051
"364","1G01","1:Desert","Grassland","3:Grassland",1,3,"","",9.848,5.937,3.911,47.29,51.212,3.922,0.05,0.402,0.206,0.104,1.021,0.87,NA,1.89,2.76,0.104,"1G","G",1,0.852105778648384,5,3.922,3.911,33.1608227228207
"365","1G02","1:Desert","Grassland","3:Grassland",2,3,"","",9.771,4.257,5.514,49.04,NA,NA,0.055,0.409,0.213,0.108,1.086,0.92,NA,1.88,2.8,0.105,"1G","G",2,0.847145488029466,5,NA,5.514,NA
"366","1G03","1:Desert","Grassland","3:Grassland",3,3,"","",10.011,6.092,3.919,48.75,52.615,3.865,0.053,0.4,0.212,0.101,1.064,0.89,NA,1.93,2.82,0.115,"1G","G",3,0.836466165413534,5,3.865,3.919,35.3411654135338
"367","1G04","1:Desert","Grassland","3:Grassland",4,3,"","",10.032,6.254,3.778,47.42,51.188,3.768,0.053,0.408,0.204,0.109,1.018,0.85,NA,1.91,2.76,0.103,"1G","G",4,0.834970530451866,5,3.768,3.778,37.0766208251473
"368","1W01","1:Desert","Grassland","2:Scrubland",1,3,"","",10.003,6.494,3.509,47.95,51.405,3.455,0.055,0.414,0.214,0.098,1.014,0.87,NA,1.9,2.77,0.108,"1W","W",1,0.857988165680473,5,3.455,3.509,40.7130177514793
"369","1W02","1:Desert","Grassland","2:Scrubland",2,3,"","",9.976,6.169,3.807,48.86,52.561,3.701,0.049,0.402,0.207,0.094,1.053,0.88,NA,1.91,2.79,0.096,"1W","W",2,0.835707502374169,5,3.701,3.807,38.140930674264
"370","1W03","1:Desert","Grassland","2:Scrubland",3,3,"","",10.066,6.414,3.652,48.15,51.822,3.672,0.055,0.4,0.211,0.112,1.035,0.85,NA,1.92,2.77,0.113,"1W","W",3,0.821256038647343,5,3.672,3.652,39.6869565217391
"371","1W04","1:Desert","Grassland","2:Scrubland",4,3,"","",8.936,6.192,2.744,47.95,50.66,2.71,0.052,0.401,0.205,0.106,1.06,0.89,NA,1.96,2.85,1.08,"1W","W",4,0.839622641509434,5,2.70999999999999,2.744,54.4924528301888
"372","1P01","1:Desert","Grassland","4:Pine-Oak",1,3,"","",7.743,4.373,3.37,47.95,49.298,1.348,0.054,0.395,0.201,0.106,1.072,0.94,NA,1.89,2.83,0.104,"1P","P",1,0.876865671641791,5,3.37,3.37,40.8992537313433
"373","1P02","1:Desert","Grassland","4:Pine-Oak",2,3,"","",9.667,5.995,3.672,47.9,51.428,3.528,0.046,0.405,0.201,0.094,1.057,0.89,NA,1.85,2.74,0.1,"1P","P",2,0.842005676442763,5,3.528,3.672,40.5880794701987
"374","1P03","1:Desert","Grassland","4:Pine-Oak",3,3,"","",9.982,6.202,3.78,47.5,51.004,3.504,0.052,0.495,0.203,0.109,1.058,0.88,NA,1.93,2.81,0.101,"1P","P",3,0.831758034026465,5,3.504,3.78,41.7103969754254
"375","1P04","1:Desert","Grassland","4:Pine-Oak",4,3,"","",7.749,4.131,3.618,48.13,49.718,1.588,0.051,0.413,0.198,0.107,1.05,0.87,NA,1.91,2.78,0.098,"1P","P",4,0.828571428571429,5,3.618,3.618,40.0445714285714
"376","1S01","1:Desert","Grassland","5:Subalpine",1,3,"","",10.453,6.592,3.861,47.9,51.719,3.819,0.048,0.395,0.204,0.099,1.076,0.92,NA,1.87,2.79,0.11,"1S","S",1,0.855018587360595,5,3.819,3.861,34.6936802973977
"377","1S02","1:Desert","Grassland","5:Subalpine",2,3,"","",9.898,6.243,3.655,48.79,52.328,3.538,0.046,0.411,0.199,0.109,1.043,0.89,NA,1.84,2.73,0.096,"1S","S",2,0.853307766059444,5,3.538,3.655,39.6199424736337
"378","1S03","1:Desert","Grassland","5:Subalpine",3,3,"","",10.2061,6.403,3.8031,48.21,51.75,3.54,0.0545,0.4459,0.2002,0.1593,0.9907,0.85,NA,1.92,2.77,0.0995,"1S","S",3,0.857979206621581,5,3.54,3.8031,39.2550721711921
"379","1S04","1:Desert","Grassland","5:Subalpine",4,3,"","",10.02,6.273,3.747,47.94,51.648,3.708,0.056,0.401,0.195,0.114,1.099,0.94,NA,1.9,2.84,0.105,"1S","S",4,0.855323020928116,5,3.70800000000001,3.747,36.5692447679708
"380","1C01","1:Desert","Grassland","Sterile",1,3,"","",9.942,6.08,3.862,47.99,51.812,3.822,NA,NA,NA,0.118,1.121,1,NA,1.89,2.89,0.103,"1C","C",1,0.892060660124888,5,3.822,3.862,31.8108831400536
"381","1C02","1:Desert","Grassland","Sterile",2,3,"","",10.088,6.163,3.925,47.9,51.69,3.79,NA,NA,NA,0.123,1.07,0.92,NA,1.87,2.79,0.119,"1C","C",2,0.85981308411215,5,3.79,3.925,34.8261682242991
"382","1C03","1:Desert","Grassland","Sterile",3,3,"","",9.822,6.431,3.391,47.31,50.786,3.476,NA,NA,NA,0.106,1.091,0.92,NA,1.9,2.82,0.112,"1C","C",3,0.843263061411549,5,3.476,3.391,41.3763519706691
"383","1C04","1:Desert","Grassland","Sterile",4,3,"","",9.946,6.073,3.873,48.22,52.065,3.845,NA,NA,NA,0.11,1.07,0.93,NA,1.93,2.86,0.109,"1C","C",4,0.869158878504673,5,3.845,3.873,33.1616822429907
"384","1N01","1:Desert","Grassland","In-situ closed",1,3,"","",8.236,6.203,2.033,48.01,50.047,2.037,NA,NA,NA,0.107,1.007,0.86,NA,1.86,2.72,0.11,"1N","N",1,0.854021847070507,2,2.037,2.033,13.017874875869
"385","1N02","1:Desert","Grassland","In-situ closed",2,3,"","",7.772,5.857,1.915,48.82,50.773,1.953,NA,NA,NA,0.119,1.027,0.86,NA,1.88,2.74,0.111,"1N","N",2,0.837390457643622,2,1.953,1.915,18.2288218111002
"386","1N03","1:Desert","Grassland","In-situ closed",3,3,"","",8.242,6.342,1.9,48.25,50.165,1.915,NA,NA,NA,0.111,1.045,0.88,NA,1.89,2.77,0.108,"1N","N",3,0.842105263157895,2,1.915,1.9,19.3684210526316
"387","1N04","1:Desert","Grassland","In-situ closed",4,3,"","",5.942,5.918,0.024,47.9,49.867,1.967,NA,NA,NA,0.105,1.007,0.86,NA,1.9,2.76,0.1,"1N","N",4,0.854021847070507,2,1.967,0.024,16.0069513406157
"388","1L01","1:Desert","Grassland","In-situ",1,3,"","",5.416,3.753,1.663,48.1,49.8,1.7,NA,NA,NA,0.123,1.049,0.94,NA,1.9,2.84,0.12,"1L","L",1,0.896091515729266,2,1.7,1.663,23.8322211630126
"389","1L02","1:Desert","Grassland","In-situ",2,3,"","",5.3931,3.7486,1.6445,47.37,48.86,1.49,NA,NA,NA,0.1474,1.0862,0.98,NA,1.88,2.86,0.1043,"1L","L",2,0.902227950653655,2,1.49,1.6445,32.7840176763026
"390","1L03","1:Desert","Grassland","In-situ",3,3,"","",5.203,3.627,1.576,47.25,48.853,1.603,NA,NA,NA,0.112,1.021,0.92,NA,1.9,2.82,0.112,"1L","L",3,0.901077375122429,2,1.603,1.576,27.7786483839372
"391","1L04","1:Desert","Grassland","In-situ",4,3,"","",5.147,3.6097,1.5373,48.1,49.61,1.51,NA,NA,NA,0.1504,1.013,0.9,NA,1.88,2.78,0.1017,"1L","L",4,0.888450148075025,2,1.51,1.5373,32.9220138203357
"392","2D01","3:Grassland","Grassland","1:Desert",1,3,"","",7.96,5.935,2.025,49.05,51.017,1.967,0.051,0.406,0.205,0.103,0.852,0.72,NA,1.92,2.64,0.105,"2D","D",1,0.845070422535211,5,1.96700000000001,2.025,66.7549295774647
"393","2D02","3:Grassland","Grassland","1:Desert",2,3,"","",8.913,6.203,2.71,47.49,50.069,2.579,0.5,0.408,0.209,0.1,1.013,0.84,NA,1.83,2.67,0.106,"2D","D",2,0.829220138203356,5,2.579,2.71,57.2288252714709
