"","SampleID","Site","LitterOrigin","MicrobialOrigin","Replicate","Timepoint","Date","Collection","FullBag","EmptyBag","BagDiff","EmptyContainer","FullContainer","ContainerDiff","DNAWetWeight","HydrolyticWetWeight","OxidativeWetWeight","BactWetWeight","LitterWetWeight","LitterDryWeight","WetLitterPlusEnvWeight","EnvWeight","DryLitterPlusEnvWeight","HyphaeWetWeight","Sample","Type","Rep","DryToWet","Initial.Mass","Wet.Mass.Rem","Wet.Mass.Rem2","Mass.loss"
"41","1C01","1:Desert","Grassland","Sterile",1,1,"4/6/16","4/5/16",10.2,5.92,4.28,50.44,54.67,4.23,NA,NA,NA,0.12,1.03,0.9,2.57,1.54,2.44,0.1,"1C","C",1,0.87378640776699,5,4.23,4.28,26.0776699029126
"42","1C02","1:Desert","Grassland","Sterile",2,1,"4/6/16","4/5/16",9.52,5.99,3.53,50.45,54.76,4.31,NA,NA,NA,0.1,1.03,0.9,2.58,1.55,2.45,0.1,"1C","C",2,0.87378640776699,5,4.31,3.53,24.6796116504855
"43","1C03","1:Desert","Grassland","Sterile",3,1,"4/6/16","4/5/16",10.19,5.8,4.39,50.3,54.69,4.39,NA,NA,NA,0.1,1.1,0.96,2.65,1.55,2.51,0.12,"1C","C",3,0.872727272727273,5,4.39,4.39,23.3745454545455
"44","1C04","1:Desert","Grassland","Sterile",4,1,"4/6/16","4/5/16",10.07,5.87,4.2,50.66,54.78,4.12,NA,NA,NA,0.12,1.05,0.93,2.6,1.55,2.48,0.11,"1C","C",4,0.885714285714286,5,4.12,4.2,27.0171428571428
"45","1C05","1:Desert","Grassland","Sterile",5,1,"4/6/16","4/5/16",10.2593,5.9099,4.3494,47.88,52.2699,4.3899,NA,NA,NA,0.1019,0.9962,0.85,2.5662,1.57,2.42,0.1028,"1C","C",5,0.853242320819113,5,4.3899,4.3494,25.0870307167236
"46","1D01","1:Desert","Grassland","1:Desert",1,1,"4/6/16","4/5/16",10.014,5.6,4.414,47.88,52.01,4.13,0.0502,0.4094,0.2018,0.1019,1.0408,0.88,2.5508,1.51,2.39,0.1021,"1D","D",1,0.845503458877786,5,4.13,4.414,30.1614142966949
"47","1D02","1:Desert","Grassland","1:Desert",2,1,"4/6/16","4/5/16",9.6316,6.1517,3.4799,47.58,51.7622,4.1822,0.0502,0.4017,0.2073,0.1046,1.0231,0.88,2.5331,1.51,2.39,0.1047,"1D","D",2,0.860130974489297,5,4.1822,3.4799,28.0552047698172
"48","1D03","1:Desert","Grassland","1:Desert",3,1,"4/6/16","4/5/16",10.235,5.9274,4.3076,47.92,53.1212,5.2012,0.0506,0.4044,0.2041,0.1053,1.0751,0.91,2.6251,1.55,2.46,0.1063,"1D","D",3,0.846432889963724,5,4.3076,4.3076,27.0781136638452
"49","1D04","1:Desert","Grassland","1:Desert",4,1,"4/6/16","4/5/16",10.3172,5.8793,4.4379,47.51,51.9965,4.4865,0.0501,0.4023,0.204,0.107,1.015,0.89,2.545,1.53,2.42,0.1058,"1D","D",4,0.876847290640394,5,4.4865,4.4379,21.3204926108374
"50","1G02","1:Desert","Grassland","3:Grassland",2,1,"4/6/16","4/5/16",10.0523,5.7992,4.2531,48.11,52.3968,4.2868,0.0504,0.4172,0.2086,0.1167,1.0414,0.91,2.5914,1.55,2.46,0.1172,"1G","G",2,0.87382369886691,5,4.2868,4.2531,25.0818513539466
"51","1G03","1:Desert","Grassland","3:Grassland",3,1,"4/6/16","4/5/16",10.1536,5.8184,4.3352,48.19,52.4482,4.2582,0.0503,0.4197,0.2124,0.1122,1.1418,1.02,2.6818,1.54,2.56,0.1098,"1G","G",3,0.893326326852338,5,4.2582,4.3352,23.9207566999474
"52","1G04","1:Desert","Grassland","3:Grassland",4,1,"4/6/16","4/5/16",10.0757,5.72,4.3557,47.57,51.9457,4.3757,0.0503,0.4095,0.2032,0.1172,1.1705,1.04,2.7105,1.54,2.58,0.102,"1G","G",4,0.888509184109355,5,4.3757,4.3557,22.2430072618539
"53","1L01","1:Desert","Desert","In-situ",1,1,"4/6/16","4/5/16",5.74,3.88,1.86,50.77,52.6,1.83,NA,NA,NA,0.12,1.05,0.92,2.52,1.47,2.39,0.11,"1L","L",1,0.876190476190476,2,1.83,1.86,19.8285714285715
"54","1L02","1:Desert","Desert","In-situ",2,1,"4/6/16","4/5/16",5.72,3.88,1.84,50.55,52.37,1.82,NA,NA,NA,0.12,1.03,0.93,2.51,1.48,2.41,0.11,"1L","L",2,0.902912621359223,2,1.82,1.84,17.8349514563107
